Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num
Brisbane-Darwin,Brisbane,Darwin,All Airlines,Sep-22,99,99,0,70,78,29,21,2022,9
Brisbane-Emerald,Brisbane,Emerald,All Airlines,Sep-22,144,144,0,124,121,20,23,2022,9
Brisbane-Gladstone,Brisbane,Gladstone,All Airlines,Sep-22,153,152,1,118,117,34,35,2022,9
Brisbane-Hamilton Island,Brisbane,Hamilton Island,All Airlines,Sep-22,58,58,0,49,52,9,6,2022,9
Brisbane-Hobart,Brisbane,Hobart,All Airlines,Sep-22,80,79,1,48,51,31,28,2022,9
Brisbane-Launceston,Brisbane,Launceston,All Airlines,Sep-22,46,46,0,31,35,15,11,2022,9
Brisbane-Mackay,Brisbane,Mackay,All Airlines,Sep-22,258,254,4,167,165,87,89,2022,9
Brisbane-Melbourne,Brisbane,Melbourne,All Airlines,Sep-22,838,801,37,482,515,319,286,2022,9
Brisbane-Mount Isa,Brisbane,Mount Isa,All Airlines,Sep-22,65,65,0,52,45,13,20,2022,9
Brisbane-Newcastle,Brisbane,Newcastle,All Airlines,Sep-22,249,244,5,180,176,64,68,2022,9
Brisbane-Perth,Brisbane,Perth,All Airlines,Sep-22,271,265,6,183,176,82,89,2022,9
Brisbane-Proserpine,Brisbane,Proserpine,All Airlines,Sep-22,95,94,1,71,62,23,32,2022,9
Brisbane-Rockhampton,Brisbane,Rockhampton,All Airlines,Sep-22,221,219,2,145,125,74,94,2022,9
Brisbane-Sydney,Brisbane,Sydney,All Airlines,Sep-22,1157,1096,61,770,746,326,350,2022,9
Brisbane-Townsville,Brisbane,Townsville,All Airlines,Sep-22,295,290,5,179,184,111,106,2022,9
Broome-Perth,Broome,Perth,All Airlines,Sep-22,164,162,2,90,106,72,56,2022,9
Cairns-Brisbane,Cairns,Brisbane,All Airlines,Sep-22,352,346,6,243,242,103,104,2022,9
Cairns-Gold Coast,Cairns,Gold Coast,All Airlines,Sep-22,53,52,1,30,29,22,23,2022,9
Cairns-Melbourne,Cairns,Melbourne,All Airlines,Sep-22,246,243,3,160,154,83,89,2022,9
Cairns-Sydney,Cairns,Sydney,All Airlines,Sep-22,231,218,13,143,132,75,86,2022,9
Cairns-Townsville,Cairns,Townsville,All Airlines,Sep-22,152,149,3,130,131,19,18,2022,9
Canberra-Adelaide,Canberra,Adelaide,All Airlines,Sep-22,87,86,1,53,53,33,33,2022,9
Canberra-Brisbane,Canberra,Brisbane,All Airlines,Sep-22,263,258,5,155,174,103,84,2022,9
Canberra-Gold Coast,Canberra,Gold Coast,All Airlines,Sep-22,48,47,1,23,24,24,23,2022,9
Canberra-Melbourne,Canberra,Melbourne,All Airlines,Sep-22,376,371,5,241,258,130,113,2022,9
Canberra-Sydney,Canberra,Sydney,All Airlines,Sep-22,616,594,22,464,452,130,142,2022,9
Coffs Harbour-Sydney,Coffs Harbour,Sydney,All Airlines,Sep-22,236,232,4,164,154,68,78,2022,9
Darwin-Brisbane,Darwin,Brisbane,All Airlines,Sep-22,100,100,0,54,48,46,52,2022,9
Darwin-Melbourne,Darwin,Melbourne,All Airlines,Sep-22,84,80,4,37,36,43,44,2022,9
Darwin-Perth,Darwin,Perth,All Airlines,Sep-22,60,60,0,29,33,31,27,2022,9
Darwin-Sydney,Darwin,Sydney,All Airlines,Sep-22,105,103,2,49,49,54,54,2022,9
Dubbo-Sydney,Dubbo,Sydney,All Airlines,Sep-22,233,230,3,173,174,57,56,2022,9
Emerald-Brisbane,Emerald,Brisbane,All Airlines,Sep-22,144,142,2,115,116,27,26,2022,9
Gladstone-Brisbane,Gladstone,Brisbane,All Airlines,Sep-22,154,152,2,115,97,37,55,2022,9
Gold Coast-Adelaide,Gold Coast,Adelaide,All Airlines,Sep-22,54,52,2,31,32,21,20,2022,9
Gold Coast-Cairns,Gold Coast,Cairns,All Airlines,Sep-22,52,51,1,37,34,14,17,2022,9
Gold Coast-Canberra,Gold Coast,Canberra,All Airlines,Sep-22,48,47,1,17,17,30,30,2022,9
Gold Coast-Melbourne,Gold Coast,Melbourne,All Airlines,Sep-22,603,569,34,348,380,221,189,2022,9
Gold Coast-Sydney,Gold Coast,Sydney,All Airlines,Sep-22,645,602,43,361,368,241,234,2022,9
Hamilton Island-Brisbane,Hamilton Island,Brisbane,All Airlines,Sep-22,59,58,1,39,41,19,17,2022,9
Hamilton Island-Sydney,Hamilton Island,Sydney,All Airlines,Sep-22,82,78,4,52,47,26,31,2022,9
Hobart-Brisbane,Hobart,Brisbane,All Airlines,Sep-22,80,79,1,32,36,47,43,2022,9
Hobart-Melbourne,Hobart,Melbourne,All Airlines,Sep-22,318,312,6,190,185,122,127,2022,9
Hobart-Sydney,Hobart,Sydney,All Airlines,Sep-22,217,204,13,144,124,60,80,2022,9
Kalgoorlie-Perth,Kalgoorlie,Perth,All Airlines,Sep-22,135,133,2,75,84,58,49,2022,9
Karratha-Perth,Karratha,Perth,All Airlines,Sep-22,197,193,4,93,113,100,80,2022,9
Launceston-Brisbane,Launceston,Brisbane,All Airlines,Sep-22,46,46,0,31,32,15,14,2022,9
Launceston-Melbourne,Launceston,Melbourne,All Airlines,Sep-22,229,223,6,158,154,65,69,2022,9
Launceston-Sydney,Launceston,Sydney,All Airlines,Sep-22,78,74,4,44,46,30,28,2022,9
Mackay-Brisbane,Mackay,Brisbane,All Airlines,Sep-22,264,258,6,156,156,102,102,2022,9
Melbourne-Adelaide,Melbourne,Adelaide,All Airlines,Sep-22,638,625,13,440,450,185,175,2022,9
Melbourne-Brisbane,Melbourne,Brisbane,All Airlines,Sep-22,836,803,33,529,574,274,229,2022,9
Melbourne-Cairns,Melbourne,Cairns,All Airlines,Sep-22,245,243,2,165,182,78,61,2022,9
Melbourne-Canberra,Melbourne,Canberra,All Airlines,Sep-22,377,373,4,280,277,93,96,2022,9
Melbourne-Darwin,Melbourne,Darwin,All Airlines,Sep-22,81,80,1,44,48,36,32,2022,9
Melbourne-Gold Coast,Melbourne,Gold Coast,All Airlines,Sep-22,604,572,32,394,398,178,174,2022,9
Melbourne-Hobart,Melbourne,Hobart,All Airlines,Sep-22,318,313,5,191,198,122,115,2022,9
Melbourne-Launceston,Melbourne,Launceston,All Airlines,Sep-22,229,224,5,151,143,73,81,2022,9
Melbourne-Mildura,Melbourne,Mildura,All Airlines,Sep-22,221,216,5,140,130,76,86,2022,9
Melbourne-Newcastle,Melbourne,Newcastle,All Airlines,Sep-22,121,120,1,81,73,39,47,2022,9
Melbourne-Perth,Melbourne,Perth,All Airlines,Sep-22,399,390,9,229,269,161,121,2022,9
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,All Airlines,Sep-22,214,213,1,141,143,72,70,2022,9
Melbourne-Sydney,Melbourne,Sydney,All Airlines,Sep-22,1992,1840,152,1294,1260,546,580,2022,9
Mildura-Melbourne,Mildura,Melbourne,All Airlines,Sep-22,220,216,4,146,139,70,77,2022,9
Mount Isa-Brisbane,Mount Isa,Brisbane,All Airlines,Sep-22,64,63,1,39,42,24,21,2022,9
Newcastle-Brisbane,Newcastle,Brisbane,All Airlines,Sep-22,252,248,4,186,183,62,65,2022,9
Newcastle-Melbourne,Newcastle,Melbourne,All Airlines,Sep-22,122,121,1,64,69,57,52,2022,9
Newman-Perth,Newman,Perth,All Airlines,Sep-22,166,163,3,116,112,47,51,2022,9
Perth-Adelaide,Perth,Adelaide,All Airlines,Sep-22,182,175,7,97,99,78,76,2022,9
Perth-Brisbane,Perth,Brisbane,All Airlines,Sep-22,268,266,2,160,198,106,68,2022,9
Perth-Broome,Perth,Broome,All Airlines,Sep-22,165,164,1,112,126,52,38,2022,9
Perth-Darwin,Perth,Darwin,All Airlines,Sep-22,60,60,0,38,38,22,22,2022,9
Perth-Kalgoorlie,Perth,Kalgoorlie,All Airlines,Sep-22,133,131,2,103,102,28,29,2022,9
Perth-Karratha,Perth,Karratha,All Airlines,Sep-22,194,191,3,137,121,54,70,2022,9
Perth-Melbourne,Perth,Melbourne,All Airlines,Sep-22,407,395,12,243,253,152,142,2022,9
Perth-Newman,Perth,Newman,All Airlines,Sep-22,163,161,2,132,130,29,31,2022,9
Perth-Port Hedland,Perth,Port Hedland,All Airlines,Sep-22,174,171,3,138,136,33,35,2022,9
Perth-Sydney,Perth,Sydney,All Airlines,Sep-22,339,323,16,165,219,158,104,2022,9
Port Hedland-Perth,Port Hedland,Perth,All Airlines,Sep-22,177,173,4,128,130,45,43,2022,9
Port Lincoln-Adelaide,Port Lincoln,Adelaide,All Airlines,Sep-22,303,284,19,222,218,62,66,2022,9
Port Macquarie-Sydney,Port Macquarie,Sydney,All Airlines,Sep-22,201,194,7,149,120,45,74,2022,9
Proserpine-Brisbane,Proserpine,Brisbane,All Airlines,Sep-22,97,95,2,53,54,42,41,2022,9
Rockhampton-Brisbane,Rockhampton,Brisbane,All Airlines,Sep-22,219,217,2,114,106,103,111,2022,9
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,All Airlines,Sep-22,214,211,3,123,108,88,103,2022,9
Sunshine Coast-Sydney,Sunshine Coast,Sydney,All Airlines,Sep-22,221,214,7,127,103,87,111,2022,9
Sydney-Adelaide,Sydney,Adelaide,All Airlines,Sep-22,409,390,19,237,226,153,164,2022,9
Sydney-Albury,Sydney,Albury,All Airlines,Sep-22,217,214,3,143,154,71,60,2022,9
Sydney-Armidale,Sydney,Armidale,All Airlines,Sep-22,165,160,5,115,125,45,35,2022,9
Sydney-Ballina,Sydney,Ballina,All Airlines,Sep-22,181,176,5,109,87,67,89,2022,9
Sydney-Brisbane,Sydney,Brisbane,All Airlines,Sep-22,1165,1102,63,699,718,403,384,2022,9
Sydney-Cairns,Sydney,Cairns,All Airlines,Sep-22,229,217,12,127,151,90,66,2022,9
Sydney-Canberra,Sydney,Canberra,All Airlines,Sep-22,616,595,21,441,464,154,131,2022,9
Sydney-Coffs Harbour,Sydney,Coffs Harbour,All Airlines,Sep-22,236,232,4,140,159,92,73,2022,9
Sydney-Darwin,Sydney,Darwin,All Airlines,Sep-22,104,102,2,67,67,35,35,2022,9
Sydney-Dubbo,Sydney,Dubbo,All Airlines,Sep-22,238,235,3,153,161,82,74,2022,9
Sydney-Gold Coast,Sydney,Gold Coast,All Airlines,Sep-22,644,603,41,386,377,217,226,2022,9
Sydney-Hamilton Island,Sydney,Hamilton Island,All Airlines,Sep-22,82,79,3,45,61,34,18,2022,9
Sydney-Hobart,Sydney,Hobart,All Airlines,Sep-22,217,203,14,143,151,60,52,2022,9
Sydney-Launceston,Sydney,Launceston,All Airlines,Sep-22,78,74,4,48,55,26,19,2022,9
Sydney-Melbourne,Sydney,Melbourne,All Airlines,Sep-22,1980,1834,146,1131,1190,703,644,2022,9
Sydney-Perth,Sydney,Perth,All Airlines,Sep-22,336,324,12,169,175,155,149,2022,9
Sydney-Port Macquarie,Sydney,Port Macquarie,All Airlines,Sep-22,201,196,5,135,143,61,53,2022,9
Sydney-Sunshine Coast,Sydney,Sunshine Coast,All Airlines,Sep-22,219,214,5,132,136,82,78,2022,9
Sydney-Wagga Wagga,Sydney,Wagga Wagga,All Airlines,Sep-22,206,202,4,146,144,56,58,2022,9
Townsville-Brisbane,Townsville,Brisbane,All Airlines,Sep-22,296,290,6,173,177,117,113,2022,9
Townsville-Cairns,Townsville,Cairns,All Airlines,Sep-22,152,149,3,116,118,33,31,2022,9
Wagga Wagga-Sydney,Wagga Wagga,Sydney,All Airlines,Sep-22,207,202,5,154,157,48,45,2022,9
Adelaide-Alice Springs,Adelaide,Alice Springs,All Airlines,Oct-22,56,56,0,51,44,5,12,2022,10
Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,Oct-22,255,247,8,188,202,59,45,2022,10
Adelaide-Canberra,Adelaide,Canberra,All Airlines,Oct-22,87,87,0,65,63,22,24,2022,10
Adelaide-Gold Coast,Adelaide,Gold Coast,All Airlines,Oct-22,68,68,0,58,55,10,13,2022,10
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,Oct-22,651,640,11,426,464,214,176,2022,10
Adelaide-Perth,Adelaide,Perth,All Airlines,Oct-22,185,181,4,116,120,65,61,2022,10
Adelaide-Port Lincoln,Adelaide,Port Lincoln,All Airlines,Oct-22,300,291,9,230,223,61,68,2022,10
Adelaide-Sydney,Adelaide,Sydney,All Airlines,Oct-22,453,444,9,252,259,192,185,2022,10
Albury-Sydney,Albury,Sydney,All Airlines,Oct-22,205,203,2,140,138,63,65,2022,10
Alice Springs-Adelaide,Alice Springs,Adelaide,All Airlines,Oct-22,57,57,0,41,42,16,15,2022,10
Armidale-Sydney,Armidale,Sydney,All Airlines,Oct-22,164,154,10,103,107,51,47,2022,10
Ballina-Sydney,Ballina,Sydney,All Airlines,Oct-22,196,193,3,107,105,86,88,2022,10
Brisbane-Adelaide,Brisbane,Adelaide,All Airlines,Oct-22,256,247,9,177,199,70,48,2022,10
Brisbane-Cairns,Brisbane,Cairns,All Airlines,Oct-22,358,354,4,249,281,105,73,2022,10
Brisbane-Canberra,Brisbane,Canberra,All Airlines,Oct-22,265,257,8,173,187,84,70,2022,10
Brisbane-Darwin,Brisbane,Darwin,All Airlines,Oct-22,102,101,1,67,80,34,21,2022,10
Brisbane-Emerald,Brisbane,Emerald,All Airlines,Oct-22,143,143,0,121,116,22,27,2022,10
Brisbane-Gladstone,Brisbane,Gladstone,All Airlines,Oct-22,158,154,4,106,99,48,55,2022,10
Brisbane-Hamilton Island,Brisbane,Hamilton Island,All Airlines,Oct-22,66,64,2,48,53,16,11,2022,10
Brisbane-Hobart,Brisbane,Hobart,All Airlines,Oct-22,89,88,1,62,67,26,21,2022,10
Brisbane-Launceston,Brisbane,Launceston,All Airlines,Oct-22,49,49,0,35,37,14,12,2022,10
Brisbane-Mackay,Brisbane,Mackay,All Airlines,Oct-22,269,267,2,192,207,75,60,2022,10
Brisbane-Melbourne,Brisbane,Melbourne,All Airlines,Oct-22,881,863,18,518,562,345,301,2022,10
Brisbane-Mount Isa,Brisbane,Mount Isa,All Airlines,Oct-22,65,65,0,56,56,9,9,2022,10
Brisbane-Newcastle,Brisbane,Newcastle,All Airlines,Oct-22,269,261,8,191,186,70,75,2022,10
Brisbane-Perth,Brisbane,Perth,All Airlines,Oct-22,275,268,7,175,166,93,102,2022,10
Brisbane-Proserpine,Brisbane,Proserpine,All Airlines,Oct-22,97,97,0,75,78,22,19,2022,10
Brisbane-Rockhampton,Brisbane,Rockhampton,All Airlines,Oct-22,242,240,2,194,173,46,67,2022,10
Brisbane-Sydney,Brisbane,Sydney,All Airlines,Oct-22,1188,1136,52,786,778,350,358,2022,10
Brisbane-Townsville,Brisbane,Townsville,All Airlines,Oct-22,314,309,5,226,243,83,66,2022,10
Broome-Perth,Broome,Perth,All Airlines,Oct-22,148,142,6,92,105,50,37,2022,10
Cairns-Brisbane,Cairns,Brisbane,All Airlines,Oct-22,359,355,4,280,269,75,86,2022,10
Cairns-Gold Coast,Cairns,Gold Coast,All Airlines,Oct-22,35,35,0,23,22,12,13,2022,10
Cairns-Melbourne,Cairns,Melbourne,All Airlines,Oct-22,240,236,4,153,160,83,76,2022,10
Cairns-Sydney,Cairns,Sydney,All Airlines,Oct-22,256,249,7,191,185,58,64,2022,10
Cairns-Townsville,Cairns,Townsville,All Airlines,Oct-22,150,147,3,131,131,16,16,2022,10
Canberra-Adelaide,Canberra,Adelaide,All Airlines,Oct-22,87,86,1,59,55,27,31,2022,10
Canberra-Brisbane,Canberra,Brisbane,All Airlines,Oct-22,265,258,7,188,190,70,68,2022,10
Canberra-Gold Coast,Canberra,Gold Coast,All Airlines,Oct-22,52,52,0,32,29,20,23,2022,10
Canberra-Melbourne,Canberra,Melbourne,All Airlines,Oct-22,390,381,9,282,274,99,107,2022,10
Canberra-Sydney,Canberra,Sydney,All Airlines,Oct-22,614,598,16,469,473,129,125,2022,10
Coffs Harbour-Sydney,Coffs Harbour,Sydney,All Airlines,Oct-22,230,227,3,144,139,83,88,2022,10
Darwin-Brisbane,Darwin,Brisbane,All Airlines,Oct-22,103,102,1,64,57,38,45,2022,10
Darwin-Melbourne,Darwin,Melbourne,All Airlines,Oct-22,85,85,0,43,50,42,35,2022,10
Darwin-Perth,Darwin,Perth,All Airlines,Oct-22,54,54,0,34,37,20,17,2022,10
Darwin-Sydney,Darwin,Sydney,All Airlines,Oct-22,109,107,2,53,55,54,52,2022,10
Dubbo-Sydney,Dubbo,Sydney,All Airlines,Oct-22,226,222,4,162,163,60,59,2022,10
Emerald-Brisbane,Emerald,Brisbane,All Airlines,Oct-22,143,143,0,114,114,29,29,2022,10
Gladstone-Brisbane,Gladstone,Brisbane,All Airlines,Oct-22,157,153,4,116,95,37,58,2022,10
Gold Coast-Adelaide,Gold Coast,Adelaide,All Airlines,Oct-22,68,68,0,47,45,21,23,2022,10
Gold Coast-Cairns,Gold Coast,Cairns,All Airlines,Oct-22,35,34,1,27,26,7,8,2022,10
Gold Coast-Canberra,Gold Coast,Canberra,All Airlines,Oct-22,52,52,0,30,31,22,21,2022,10
Gold Coast-Melbourne,Gold Coast,Melbourne,All Airlines,Oct-22,590,563,27,317,364,246,199,2022,10
Gold Coast-Sydney,Gold Coast,Sydney,All Airlines,Oct-22,700,667,33,413,422,254,245,2022,10
Hamilton Island-Brisbane,Hamilton Island,Brisbane,All Airlines,Oct-22,66,64,2,46,45,18,19,2022,10
Hamilton Island-Sydney,Hamilton Island,Sydney,All Airlines,Oct-22,91,90,1,53,48,37,42,2022,10
Hobart-Brisbane,Hobart,Brisbane,All Airlines,Oct-22,88,87,1,55,53,32,34,2022,10
Hobart-Melbourne,Hobart,Melbourne,All Airlines,Oct-22,350,344,6,214,199,130,145,2022,10
Hobart-Sydney,Hobart,Sydney,All Airlines,Oct-22,218,211,7,141,117,70,94,2022,10
Kalgoorlie-Perth,Kalgoorlie,Perth,All Airlines,Oct-22,130,129,1,82,89,47,40,2022,10
Karratha-Perth,Karratha,Perth,All Airlines,Oct-22,191,189,2,128,152,61,37,2022,10
Launceston-Brisbane,Launceston,Brisbane,All Airlines,Oct-22,49,49,0,29,28,20,21,2022,10
Launceston-Melbourne,Launceston,Melbourne,All Airlines,Oct-22,270,260,10,168,156,92,104,2022,10
Launceston-Sydney,Launceston,Sydney,All Airlines,Oct-22,86,84,2,33,33,51,51,2022,10
Mackay-Brisbane,Mackay,Brisbane,All Airlines,Oct-22,273,272,1,192,191,80,81,2022,10
Melbourne-Adelaide,Melbourne,Adelaide,All Airlines,Oct-22,647,640,7,450,451,190,189,2022,10
Melbourne-Brisbane,Melbourne,Brisbane,All Airlines,Oct-22,881,858,23,569,577,289,281,2022,10
Melbourne-Cairns,Melbourne,Cairns,All Airlines,Oct-22,240,237,3,156,177,81,60,2022,10
Melbourne-Canberra,Melbourne,Canberra,All Airlines,Oct-22,389,382,7,272,272,110,110,2022,10
Melbourne-Darwin,Melbourne,Darwin,All Airlines,Oct-22,85,85,0,55,52,30,33,2022,10
Melbourne-Gold Coast,Melbourne,Gold Coast,All Airlines,Oct-22,585,557,28,360,364,197,193,2022,10
Melbourne-Hobart,Melbourne,Hobart,All Airlines,Oct-22,350,345,5,203,216,142,129,2022,10
Melbourne-Launceston,Melbourne,Launceston,All Airlines,Oct-22,271,262,9,154,150,108,112,2022,10
Melbourne-Mildura,Melbourne,Mildura,All Airlines,Oct-22,220,217,3,136,125,81,92,2022,10
Melbourne-Newcastle,Melbourne,Newcastle,All Airlines,Oct-22,129,127,2,89,79,38,48,2022,10
Melbourne-Perth,Melbourne,Perth,All Airlines,Oct-22,402,391,11,217,253,174,138,2022,10
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,All Airlines,Oct-22,216,210,6,138,139,72,71,2022,10
Melbourne-Sydney,Melbourne,Sydney,All Airlines,Oct-22,1983,1867,116,1286,1269,581,598,2022,10
Mildura-Melbourne,Mildura,Melbourne,All Airlines,Oct-22,221,217,4,135,131,82,86,2022,10
Mount Isa-Brisbane,Mount Isa,Brisbane,All Airlines,Oct-22,65,64,1,54,53,10,11,2022,10
Newcastle-Brisbane,Newcastle,Brisbane,All Airlines,Oct-22,268,260,8,201,197,59,63,2022,10
Newcastle-Melbourne,Newcastle,Melbourne,All Airlines,Oct-22,129,123,6,68,69,55,54,2022,10
Newman-Perth,Newman,Perth,All Airlines,Oct-22,168,163,5,130,129,33,34,2022,10
Perth-Adelaide,Perth,Adelaide,All Airlines,Oct-22,184,179,5,104,115,75,64,2022,10
Perth-Brisbane,Perth,Brisbane,All Airlines,Oct-22,274,267,7,161,194,106,73,2022,10
Perth-Broome,Perth,Broome,All Airlines,Oct-22,148,142,6,111,124,31,18,2022,10
Perth-Darwin,Perth,Darwin,All Airlines,Oct-22,54,54,0,44,44,10,10,2022,10
Perth-Kalgoorlie,Perth,Kalgoorlie,All Airlines,Oct-22,130,130,0,103,104,27,26,2022,10
Perth-Karratha,Perth,Karratha,All Airlines,Oct-22,191,189,2,150,154,39,35,2022,10
Perth-Melbourne,Perth,Melbourne,All Airlines,Oct-22,402,386,16,239,265,147,121,2022,10
Perth-Newman,Perth,Newman,All Airlines,Oct-22,168,163,5,137,138,26,25,2022,10
Perth-Port Hedland,Perth,Port Hedland,All Airlines,Oct-22,174,171,3,135,134,36,37,2022,10
Perth-Sydney,Perth,Sydney,All Airlines,Oct-22,368,360,8,211,265,149,95,2022,10
Port Hedland-Perth,Port Hedland,Perth,All Airlines,Oct-22,176,173,3,106,126,67,47,2022,10
Port Lincoln-Adelaide,Port Lincoln,Adelaide,All Airlines,Oct-22,300,291,9,223,214,68,77,2022,10
Port Macquarie-Sydney,Port Macquarie,Sydney,All Airlines,Oct-22,199,192,7,141,117,51,75,2022,10
Proserpine-Brisbane,Proserpine,Brisbane,All Airlines,Oct-22,98,98,0,67,69,31,29,2022,10
Rockhampton-Brisbane,Rockhampton,Brisbane,All Airlines,Oct-22,242,237,5,174,152,63,85,2022,10
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,All Airlines,Oct-22,216,209,7,105,108,104,101,2022,10
Sunshine Coast-Sydney,Sunshine Coast,Sydney,All Airlines,Oct-22,242,232,10,115,98,117,134,2022,10
Sydney-Adelaide,Sydney,Adelaide,All Airlines,Oct-22,454,447,7,296,273,151,174,2022,10
Sydney-Albury,Sydney,Albury,All Airlines,Oct-22,206,204,2,128,133,76,71,2022,10
Sydney-Armidale,Sydney,Armidale,All Airlines,Oct-22,160,157,3,107,112,50,45,2022,10
Sydney-Ballina,Sydney,Ballina,All Airlines,Oct-22,195,192,3,125,115,67,77,2022,10
Sydney-Brisbane,Sydney,Brisbane,All Airlines,Oct-22,1188,1135,53,770,791,365,344,2022,10
Sydney-Cairns,Sydney,Cairns,All Airlines,Oct-22,253,249,4,160,192,89,57,2022,10
Sydney-Canberra,Sydney,Canberra,All Airlines,Oct-22,617,598,19,452,462,146,136,2022,10
Sydney-Coffs Harbour,Sydney,Coffs Harbour,All Airlines,Oct-22,231,230,1,136,152,94,78,2022,10
Sydney-Darwin,Sydney,Darwin,All Airlines,Oct-22,109,109,0,71,70,38,39,2022,10
Sydney-Dubbo,Sydney,Dubbo,All Airlines,Oct-22,232,228,4,149,140,79,88,2022,10
Sydney-Gold Coast,Sydney,Gold Coast,All Airlines,Oct-22,702,670,32,437,423,233,247,2022,10
Sydney-Hamilton Island,Sydney,Hamilton Island,All Airlines,Oct-22,90,90,0,51,61,39,29,2022,10
Sydney-Hobart,Sydney,Hobart,All Airlines,Oct-22,218,213,5,154,161,59,52,2022,10
Sydney-Launceston,Sydney,Launceston,All Airlines,Oct-22,86,85,1,47,54,38,31,2022,10
Sydney-Melbourne,Sydney,Melbourne,All Airlines,Oct-22,1972,1862,110,1165,1201,697,661,2022,10
Sydney-Perth,Sydney,Perth,All Airlines,Oct-22,370,362,8,168,162,194,200,2022,10
Sydney-Port Macquarie,Sydney,Port Macquarie,All Airlines,Oct-22,202,195,7,128,131,67,64,2022,10
Sydney-Sunshine Coast,Sydney,Sunshine Coast,All Airlines,Oct-22,241,232,9,143,143,89,89,2022,10
Sydney-Wagga Wagga,Sydney,Wagga Wagga,All Airlines,Oct-22,195,190,5,132,128,58,62,2022,10
Townsville-Brisbane,Townsville,Brisbane,All Airlines,Oct-22,312,307,5,225,209,82,98,2022,10
Townsville-Cairns,Townsville,Cairns,All Airlines,Oct-22,150,148,2,119,122,29,26,2022,10
Wagga Wagga-Sydney,Wagga Wagga,Sydney,All Airlines,Oct-22,197,192,5,138,130,54,62,2022,10
Adelaide-Alice Springs,Adelaide,Alice Springs,All Airlines,Nov-22,55,55,0,51,44,4,11,2022,11
Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,Nov-22,292,279,13,167,197,112,82,2022,11
Adelaide-Canberra,Adelaide,Canberra,All Airlines,Nov-22,101,98,3,70,70,28,28,2022,11
Adelaide-Gold Coast,Adelaide,Gold Coast,All Airlines,Nov-22,74,70,4,49,50,21,20,2022,11
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,Nov-22,654,630,24,362,356,268,274,2022,11
Adelaide-Perth,Adelaide,Perth,All Airlines,Nov-22,177,171,6,103,117,68,54,2022,11
Adelaide-Port Lincoln,Adelaide,Port Lincoln,All Airlines,Nov-22,280,261,19,163,164,98,97,2022,11
Adelaide-Sydney,Adelaide,Sydney,All Airlines,Nov-22,452,436,16,252,270,184,166,2022,11
Albury-Sydney,Albury,Sydney,All Airlines,Nov-22,223,216,7,165,165,51,51,2022,11
Alice Springs-Adelaide,Alice Springs,Adelaide,All Airlines,Nov-22,55,55,0,33,36,22,19,2022,11
Armidale-Sydney,Armidale,Sydney,All Airlines,Nov-22,163,157,6,117,110,40,47,2022,11
Ballina-Sydney,Ballina,Sydney,All Airlines,Nov-22,210,208,2,135,128,73,80,2022,11
Brisbane-Adelaide,Brisbane,Adelaide,All Airlines,Nov-22,292,285,7,191,165,94,120,2022,11
Brisbane-Cairns,Brisbane,Cairns,All Airlines,Nov-22,352,349,3,255,256,94,93,2022,11
Brisbane-Canberra,Brisbane,Canberra,All Airlines,Nov-22,274,268,6,210,196,58,72,2022,11
Brisbane-Darwin,Brisbane,Darwin,All Airlines,Nov-22,102,101,1,57,44,44,57,2022,11
Brisbane-Emerald,Brisbane,Emerald,All Airlines,Nov-22,135,135,0,113,114,22,21,2022,11
Brisbane-Gladstone,Brisbane,Gladstone,All Airlines,Nov-22,164,161,3,122,118,39,43,2022,11
Brisbane-Hamilton Island,Brisbane,Hamilton Island,All Airlines,Nov-22,55,54,1,47,44,7,10,2022,11
Brisbane-Hobart,Brisbane,Hobart,All Airlines,Nov-22,91,91,0,63,62,28,29,2022,11
Brisbane-Launceston,Brisbane,Launceston,All Airlines,Nov-22,45,44,1,33,33,11,11,2022,11
Brisbane-Mackay,Brisbane,Mackay,All Airlines,Nov-22,279,273,6,194,189,79,84,2022,11
Brisbane-Melbourne,Brisbane,Melbourne,All Airlines,Nov-22,862,830,32,503,450,327,380,2022,11
Brisbane-Mount Isa,Brisbane,Mount Isa,All Airlines,Nov-22,65,65,0,58,54,7,11,2022,11
Brisbane-Newcastle,Brisbane,Newcastle,All Airlines,Nov-22,276,269,7,214,207,55,62,2022,11
Brisbane-Perth,Brisbane,Perth,All Airlines,Nov-22,288,283,5,162,133,121,150,2022,11
Brisbane-Proserpine,Brisbane,Proserpine,All Airlines,Nov-22,88,88,0,63,58,25,30,2022,11
Brisbane-Rockhampton,Brisbane,Rockhampton,All Airlines,Nov-22,293,290,3,214,192,76,98,2022,11
Brisbane-Sydney,Brisbane,Sydney,All Airlines,Nov-22,1236,1141,95,759,739,382,402,2022,11
