Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num
Gold Coast-Adelaide,Gold Coast,Adelaide,All Airlines,Feb-10,83,83,0,68,72,15,11,2010,2
Gold Coast-Melbourne,Gold Coast,Melbourne,All Airlines,Feb-10,434,425,9,352,359,73,66,2010,2
Gold Coast-Newcastle,Gold Coast,Newcastle,All Airlines,Feb-10,39,38,1,32,33,6,5,2010,2
Gold Coast-Sydney,Gold Coast,Sydney,All Airlines,Feb-10,606,596,10,498,484,98,112,2010,2
Hamilton Island-Brisbane,Hamilton Island,Brisbane,All Airlines,Feb-10,55,55,0,51,51,4,4,2010,2
Hamilton Island-Sydney,Hamilton Island,Sydney,All Airlines,Feb-10,55,54,1,49,49,5,5,2010,2
Hobart-Melbourne,Hobart,Melbourne,All Airlines,Feb-10,325,325,0,273,270,52,55,2010,2
Hobart-Sydney,Hobart,Sydney,All Airlines,Feb-10,139,138,1,112,119,26,19,2010,2
Kalgoorlie-Perth,Kalgoorlie,Perth,All Airlines,Feb-10,102,102,0,86,87,16,15,2010,2
Karratha-Perth,Karratha,Perth,All Airlines,Feb-10,245,240,5,211,204,29,36,2010,2
Launceston-Melbourne,Launceston,Melbourne,All Airlines,Feb-10,289,288,1,238,208,50,80,2010,2
Launceston-Sydney,Launceston,Sydney,All Airlines,Feb-10,55,55,0,43,41,12,14,2010,2
Mackay-Brisbane,Mackay,Brisbane,All Airlines,Feb-10,262,258,4,230,219,28,39,2010,2
Melbourne-Adelaide,Melbourne,Adelaide,All Airlines,Feb-10,613,611,2,524,530,87,81,2010,2
Melbourne-Alice Springs,Melbourne,Alice Springs,All Airlines,Feb-10,40,40,0,36,37,4,3,2010,2
Melbourne-Brisbane,Melbourne,Brisbane,All Airlines,Feb-10,675,670,5,579,570,91,100,2010,2
Melbourne-Cairns,Melbourne,Cairns,All Airlines,Feb-10,83,83,0,73,70,10,13,2010,2
Melbourne-Canberra,Melbourne,Canberra,All Airlines,Feb-10,462,457,5,405,398,52,59,2010,2
Melbourne-Darwin,Melbourne,Darwin,All Airlines,Feb-10,34,34,0,28,28,6,6,2010,2
Melbourne-Gold Coast,Melbourne,Gold Coast,All Airlines,Feb-10,433,425,8,358,349,67,76,2010,2
Melbourne-Hobart,Melbourne,Hobart,All Airlines,Feb-10,325,325,0,256,259,69,66,2010,2
Melbourne-Launceston,Melbourne,Launceston,All Airlines,Feb-10,289,288,1,235,229,53,59,2010,2
Melbourne-Mildura,Melbourne,Mildura,All Airlines,Feb-10,180,180,0,145,140,35,40,2010,2
Melbourne-Newcastle,Melbourne,Newcastle,All Airlines,Feb-10,82,82,0,72,69,10,13,2010,2
Melbourne-Perth,Melbourne,Perth,All Airlines,Feb-10,354,352,2,289,317,63,35,2010,2
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,All Airlines,Feb-10,89,87,2,76,72,11,15,2010,2
Melbourne-Sydney,Melbourne,Sydney,All Airlines,Feb-10,1871,1825,46,1482,1382,343,443,2010,2
Mildura-Melbourne,Mildura,Melbourne,All Airlines,Feb-10,179,179,0,158,141,21,38,2010,2
Newcastle-Brisbane,Newcastle,Brisbane,All Airlines,Feb-10,200,199,1,171,165,28,34,2010,2
Newcastle-Gold Coast,Newcastle,Gold Coast,All Airlines,Feb-10,39,39,0,35,35,4,4,2010,2
Newcastle-Melbourne,Newcastle,Melbourne,All Airlines,Feb-10,83,83,0,74,76,9,7,2010,2
Newman-Perth,Newman,Perth,All Airlines,Feb-10,112,111,1,94,93,17,18,2010,2
Perth-Adelaide,Perth,Adelaide,All Airlines,Feb-10,194,194,0,180,173,14,21,2010,2
Perth-Brisbane,Perth,Brisbane,All Airlines,Feb-10,168,168,0,160,141,8,27,2010,2
Perth-Broome,Perth,Broome,All Airlines,Feb-10,124,123,1,102,100,21,23,2010,2
Perth-Darwin,Perth,Darwin,All Airlines,Feb-10,56,55,1,50,53,5,2,2010,2
Perth-Kalgoorlie,Perth,Kalgoorlie,All Airlines,Feb-10,102,102,0,94,93,8,9,2010,2
Perth-Karratha,Perth,Karratha,All Airlines,Feb-10,245,241,4,222,218,19,23,2010,2
Perth-Melbourne,Perth,Melbourne,All Airlines,Feb-10,354,352,2,311,292,41,60,2010,2
Perth-Newman,Perth,Newman,All Airlines,Feb-10,112,111,1,103,101,8,10,2010,2
Perth-Port Hedland,Perth,Port Hedland,All Airlines,Feb-10,148,147,1,138,139,9,8,2010,2
Perth-Sydney,Perth,Sydney,All Airlines,Feb-10,346,345,1,312,290,33,55,2010,2
Port Hedland-Perth,Port Hedland,Perth,All Airlines,Feb-10,148,148,0,130,129,18,19,2010,2
Port Macquarie-Sydney,Port Macquarie,Sydney,All Airlines,Feb-10,150,146,4,121,122,25,24,2010,2
Proserpine-Brisbane,Proserpine,Brisbane,All Airlines,Feb-10,55,55,0,44,44,11,11,2010,2
Rockhampton-Brisbane,Rockhampton,Brisbane,All Airlines,Feb-10,307,305,2,260,257,45,48,2010,2
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,All Airlines,Feb-10,90,88,2,66,74,22,14,2010,2
Sunshine Coast-Sydney,Sunshine Coast,Sydney,All Airlines,Feb-10,105,105,0,81,82,24,23,2010,2
Sydney-Adelaide,Sydney,Adelaide,All Airlines,Feb-10,492,490,2,421,433,69,57,2010,2
Sydney-Albury,Sydney,Albury,All Airlines,Feb-10,245,245,0,206,198,39,47,2010,2
Sydney-Ballina,Sydney,Ballina,All Airlines,Feb-10,138,138,0,109,100,29,38,2010,2
Sydney-Brisbane,Sydney,Brisbane,All Airlines,Feb-10,1124,1102,22,878,901,224,201,2010,2
Sydney-Cairns,Sydney,Cairns,All Airlines,Feb-10,190,189,1,151,164,38,25,2010,2
Sydney-Canberra,Sydney,Canberra,All Airlines,Feb-10,728,722,6,625,612,97,110,2010,2
Sydney-Coffs Harbour,Sydney,Coffs Harbour,All Airlines,Feb-10,178,177,1,153,138,24,39,2010,2
Sydney-Dubbo,Sydney,Dubbo,All Airlines,Feb-10,210,210,0,174,167,36,43,2010,2
Sydney-Gold Coast,Sydney,Gold Coast,All Airlines,Feb-10,604,595,9,492,506,103,89,2010,2
Sydney-Hamilton Island,Sydney,Hamilton Island,All Airlines,Feb-10,55,54,1,48,49,6,5,2010,2
Sydney-Hobart,Sydney,Hobart,All Airlines,Feb-10,136,136,0,121,116,15,20,2010,2
Sydney-Launceston,Sydney,Launceston,All Airlines,Feb-10,55,55,0,43,46,12,9,2010,2
Sydney-Melbourne,Sydney,Melbourne,All Airlines,Feb-10,1868,1818,50,1441,1400,377,418,2010,2
Sydney-Perth,Sydney,Perth,All Airlines,Feb-10,345,344,1,271,295,73,49,2010,2
Sydney-Port Macquarie,Sydney,Port Macquarie,All Airlines,Feb-10,150,148,2,123,118,25,30,2010,2
Sydney-Sunshine Coast,Sydney,Sunshine Coast,All Airlines,Feb-10,105,105,0,84,85,21,20,2010,2
Sydney-Townsville,Sydney,Townsville,All Airlines,Feb-10,47,47,0,42,44,5,3,2010,2
Sydney-Wagga Wagga,Sydney,Wagga Wagga,All Airlines,Feb-10,225,225,0,184,170,41,55,2010,2
Townsville-Brisbane,Townsville,Brisbane,All Airlines,Feb-10,291,286,5,264,262,22,24,2010,2
Townsville-Cairns,Townsville,Cairns,All Airlines,Feb-10,192,187,5,164,157,23,30,2010,2
Townsville-Sydney,Townsville,Sydney,All Airlines,Feb-10,46,46,0,39,39,7,7,2010,2
Wagga Wagga-Sydney,Wagga Wagga,Sydney,All Airlines,Feb-10,223,221,2,180,153,41,68,2010,2
Adelaide-Alice Springs,Adelaide,Alice Springs,All Airlines,Mar-10,44,44,0,38,39,6,5,2010,3
Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,Mar-10,222,221,1,197,199,24,22,2010,3
Adelaide-Canberra,Adelaide,Canberra,All Airlines,Mar-10,81,80,1,70,73,10,7,2010,3
Adelaide-Gold Coast,Adelaide,Gold Coast,All Airlines,Mar-10,92,91,1,80,79,11,12,2010,3
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,Mar-10,693,687,6,605,571,82,116,2010,3
Adelaide-Perth,Adelaide,Perth,All Airlines,Mar-10,211,210,1,183,198,27,12,2010,3
Adelaide-Sydney,Adelaide,Sydney,All Airlines,Mar-10,551,549,2,484,479,65,70,2010,3
Albury-Sydney,Albury,Sydney,All Airlines,Mar-10,289,286,3,234,212,52,74,2010,3
Alice Springs-Adelaide,Alice Springs,Adelaide,All Airlines,Mar-10,44,44,0,37,38,7,6,2010,3
Alice Springs-Melbourne,Alice Springs,Melbourne,All Airlines,Mar-10,44,44,0,39,38,5,6,2010,3
Ballina-Sydney,Ballina,Sydney,All Airlines,Mar-10,154,152,2,122,118,30,34,2010,3
Brisbane-Adelaide,Brisbane,Adelaide,All Airlines,Mar-10,221,221,0,190,202,31,19,2010,3
Brisbane-Cairns,Brisbane,Cairns,All Airlines,Mar-10,334,334,0,299,308,35,26,2010,3
Brisbane-Canberra,Brisbane,Canberra,All Airlines,Mar-10,278,277,1,252,254,25,23,2010,3
