,Year,Flights Flown,Month,Price,KM
323,2019,76,7,611.0259792,972
324,2021,33,7,495.5639014,972
325,2022,78,7,555.6775701,972
326,2023,127,7,625.5691057,972
327,2010,78,6,376.7661795,972
328,2011,69,6,456.9314516,972
329,2012,70,6,522.5348606,972
330,2013,88,6,449.0953307,972
331,2014,91,6,499.3597734,972
332,2015,73,6,543.9832558,972
333,2016,64,6,564.2375691,972
334,2017,66,6,553.5338753,972
335,2018,64,6,554.6477876,972
336,2019,70,6,480.1567857,972
337,2021,62,6,499.3063973,972
338,2022,77,6,475.9484536,972
339,2023,130,6,527.3717277,972
340,2010,80,3,402.6533613,972
341,2011,81,3,404.1871821,972
342,2012,80,3,487.3393393,972
343,2013,93,3,431.7226563,972
344,2014,94,3,554.8216319,972
345,2015,87,3,537.0692884,972
346,2016,77,3,592.1829945,972
347,2017,76,3,598.8479638,972
348,2018,73,3,607.5586146,972
349,2019,75,3,617.9877125,972
350,2020,61,3,657.5060034,972
351,2021,56,3,618.2179813,972
352,2022,75,3,625.5415658,972
353,2023,127,3,535.9668175,972
354,2010,78,5,405.9728601,972
355,2011,76,5,392.0584677,972
356,2012,75,5,459.8306773,972
357,2013,98,5,385.1332685,972
358,2014,92,5,435.9490085,972
359,2015,72,5,543.9832558,972
360,2016,69,5,564.2375691,972
361,2017,67,5,553.5338753,972
362,2018,70,5,470.4725575,972
363,2019,81,5,572.7856969,972
364,2021,65,5,565.2525253,972
365,2022,84,5,532.5408327,972
366,2023,138,5,396.7949065,972
367,2010,78,11,386.9267286,972
368,2011,78,11,417.7374749,972
369,2012,94,11,448.5029412,972
370,2013,92,11,451.2041985,972
371,2014,87,11,574.8236398,972
372,2015,73,11,591.0904059,972
373,2016,74,11,557.0563636,972
374,2017,74,11,604.0285459,972
375,2018,70,11,617.9877125,972
376,2019,71,11,565.8846644,972
377,2020,51,11,712.6305461,972
378,2021,31,11,412.9068343,972
379,2022,98,11,575.4296636,972
380,2023,112,11,536.5848567,972
381,2010,78,10,384.0392157,972
382,2011,76,10,473.8096192,972
383,2012,80,10,459.4754902,972
384,2013,93,10,456.5438931,972
385,2014,93,10,564.3245779,972
386,2015,74,10,591.0904059,972
387,2016,73,10,557.0563636,972
388,2017,76,10,596.5405888,972
389,2018,80,10,644.9377739,972
390,2019,80,10,645.3218589,972
391,2020,48,10,663.6894198,972
392,2021,30,10,412.9068343,972
393,2022,87,10,575.4296636,972
